Title,Video URL,Subject,Grade,Chapter,Sort Order
第一章-多项式,https://www.youtube.com/watch?v=Nt6wbyBQqZQ&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=1&pp=iAQB,数学,初中2,第1章 多项式,1
第一章-多项式的四则运算,https://www.youtube.com/watch?v=Vc0gFtZKvV4&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=2&pp=iAQB,数学,初中2,第1章 多项式,1
第一章-多项式的乘法,https://www.youtube.com/watch?v=lq6cQGq5SCc&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=3&pp=iAQB,数学,初中2,第1章 多项式,1
第一章-单项式乘单项式,https://www.youtube.com/watch?v=deo8RlR1H_0&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=4&pp=iAQB,数学,初中2,第1章 多项式,1
第一章-多项式乘法,https://www.youtube.com/watch?v=CTSD3vTseHI&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=5&pp=iAQB,数学,初中2,第1章 多项式,1
第一章-多项式除法,https://www.youtube.com/watch?v=8J6u6ECgAWg&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=7&pp=iAQB,数学,初中2,第1章 多项式,1
第一章-单项式除以单项式,https://www.youtube.com/watch?v=KYGaMRWyoQE&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=8&pp=iAQB,数学,初中2,第1章 多项式,1
第一章-多项式除以多项式,https://www.youtube.com/watch?v=WPgYG0ONKmU&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=9&pp=iAQB0gcJCckJAYcqIYzv,数学,初中2,第1章 多项式,1
第一章-乘法公式,https://www.youtube.com/watch?v=Gl1G3Wz8640&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=10&pp=iAQB,数学,初中2,第1章 多项式,1
第一章-完全平方公式,https://www.youtube.com/watch?v=DkNfbqQ7gfw&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=11&pp=iAQB,数学,初中2,第1章 多项式,1
第一章-总复习题,https://www.youtube.com/watch?v=iG0IDiGfDXw&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=12&pp=iAQB,数学,初中2,第1章 多项式,1
第二章-因式分解,https://www.youtube.com/watch?v=1oP-JgghfMg&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=13&pp=iAQB,数学,初中2,第2章 因式分解,2
第二章-平方差公式法,https://www.youtube.com/watch?v=It_oxBXPqjc&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=14&pp=iAQB,数学,初中2,第2章 因式分解,2
第二章-交叉相乘法,https://www.youtube.com/watch?v=kWc8tuSwYK0&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=15&pp=iAQB,数学,初中2,第2章 因式分解,2
第二章-最高公因式与最低公倍式,https://www.youtube.com/watch?v=vm42ePg_TWI&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=16&pp=iAQB,数学,初中2,第2章 因式分解,2
第二章-因式分解-总复习,https://www.youtube.com/watch?v=9vFTqxD-ZPs&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=17&pp=iAQB,数学,初中2,第2章 因式分解,2
第三章-平方根与立方根,https://www.youtube.com/watch?v=gUFs8HRnppk&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=18&pp=iAQB,数学,初中2,第3章 平方根与立方根,3
第三章-平方根与立方根 习题,https://www.youtube.com/watch?v=aXKX-dJW9ds&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=19&pp=iAQB,数学,初中2,第3章 平方根与立方根,3
第三章-算术平方根的性质,https://www.youtube.com/watch?v=ht6GkK38QqQ&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=20&pp=iAQB,数学,初中2,第3章 平方根与立方根,3
第三章-数的立方根,https://www.youtube.com/watch?v=voISE3r0PY8&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=21&pp=iAQB,数学,初中2,第3章 平方根与立方根,3
第三章-有理数与无理数,https://www.youtube.com/watch?v=kTjwEzF5hdY&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=22&pp=iAQB,数学,初中2,第3章 平方根与立方根,3
第三章-二次根式的化简,https://www.youtube.com/watch?v=Efzf8WgDUCU&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=23&pp=iAQB,数学,初中2,第3章 平方根与立方根,3
第三章-二次根式的四则运算,https://www.youtube.com/watch?v=t8rNd4E2Yxo&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=29&pp=iAQB,数学,初中2,第3章 平方根与立方根,3
第三章-二次根式的-乘法,https://www.youtube.com/watch?v=SUs1G6okbEc&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=30&pp=iAQB,数学,初中2,第3章 平方根与立方根,3
第三章-二次根式的-除法,https://www.youtube.com/watch?v=jg42j2ItJjc&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=31&pp=iAQB,数学,初中2,第3章 平方根与立方根,3
第四章-三角形的分类,https://www.youtube.com/watch?v=_qDlTB56Uh4&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=33&pp=iAQB,数学,初中2,第4章 三角形,4
第四章-三角形的边角关系,https://www.youtube.com/watch?v=fMuFkLjWU1k&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=34&pp=iAQB,数学,初中2,第4章 三角形,4
第四章-外角与内角,https://www.youtube.com/watch?v=QS10eB1vGYo&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=35&pp=iAQB,数学,初中2,第4章 三角形,4
第四章-全等的判定 SSS,https://www.youtube.com/watch?v=EgtDhwQjZZ0&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=37&pp=iAQB,数学,初中2,第4章 三角形,4
第四章-全等的判定，SAS 定理,https://www.youtube.com/watch?v=pCyjOgQqjZY&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=38&pp=iAQB,数学,初中2,第4章 三角形,4
"第四章-全等的判定，ASA,AAS 定理",https://www.youtube.com/watch?v=UxvJ7BQjvMk&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=39&pp=iAQB,数学,初中2,第4章 三角形,4
第四章-全等的判定，RHS 定理,https://www.youtube.com/watch?v=q2Owg9Somi0&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=40&pp=iAQB0gcJCckJAYcqIYzv,数学,初中2,第4章 三角形,4
第四章- 等腰三角形,https://www.youtube.com/watch?v=-HECe0QtFkU&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=41&pp=iAQB,数学,初中2,第4章 三角形,4
第四章- 直角三角形,https://www.youtube.com/watch?v=WFKkCefPhp8&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=42&pp=iAQB,数学,初中2,第4章 三角形,4
第五章-四边形与多边形-内角和,https://www.youtube.com/watch?v=OcRdx7rlVZ0&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=46&pp=iAQB,数学,初中2,第5章 四边形及多边形,5
第五章-平行四边形的特质,https://www.youtube.com/watch?v=v58bp-uqBqE&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=47&pp=iAQB0gcJCckJAYcqIYzv,数学,初中2,第5章 四边形及多边形,5
第五章-四边形与多边形-长方形,https://www.youtube.com/watch?v=a08Ot2NkGBg&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=48&pp=iAQB,数学,初中2,第5章 四边形及多边形,5
第五章-四边形与多边形-菱形,https://www.youtube.com/watch?v=LZ-Azmt5jT8&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=49&pp=iAQB,数学,初中2,第5章 四边形及多边形,5
第五章-四边形与多边形-正方形,https://www.youtube.com/watch?v=BFUBSYcbO4c&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=50&pp=iAQB,数学,初中2,第5章 四边形及多边形,5
第五章-四边形与多边形-风筝形,https://www.youtube.com/watch?v=Yt6QqBEvYL0&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=51&pp=iAQB,数学,初中2,第5章 四边形及多边形,5
第五章-四边形与多边形-梯形,https://www.youtube.com/watch?v=3E-Xb1LTOKE&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=52&pp=iAQB,数学,初中2,第5章 四边形及多边形,5
第五章-四边形之间的关系,https://www.youtube.com/watch?v=oslKHFeTLMY&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=53&pp=iAQB,数学,初中2,第5章 四边形及多边形,5
第五章-四边形与多边形-多边形,https://www.youtube.com/watch?v=sgMElQ5lgac&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=54&pp=iAQB,数学,初中2,第5章 四边形及多边形,5
第五章-多边形内角和、外角和,https://www.youtube.com/watch?v=TtLFj_E-8J8&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=55&pp=iAQB,数学,初中2,第5章 四边形及多边形,5
第六章-周长与面积-周长,https://www.youtube.com/watch?v=GmWgaKdd-T8&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=57&pp=iAQB,数学,初中2,第6章 周长与面积,6
第六章-周长与面积-面积,https://www.youtube.com/watch?v=IF1bpxhatvg&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=58&pp=iAQB,数学,初中2,第6章 周长与面积,6
第六章-面积单位的换算,https://www.youtube.com/watch?v=TeUJ1FVkFhE&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=59&pp=iAQB,数学,初中2,第6章 周长与面积,6
第七章-圆与扇形-圆的周长,https://www.youtube.com/watch?v=ha5XIVVuegI&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=61&pp=iAQB,数学,初中2,第7章 圆与扇形,7
第七章-圆与扇形-圆的面积,https://www.youtube.com/watch?v=Mx98iplPOFs&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=62&pp=iAQB,数学,初中2,第7章 圆与扇形,7
第七章-圆与扇形-扇形弧长,https://www.youtube.com/watch?v=g4m5_HGu8SE&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=63&pp=iAQB0gcJCckJAYcqIYzv,数学,初中2,第7章 圆与扇形,7
第七章-圆与扇形-扇形面积,https://www.youtube.com/watch?v=cjEeIU6i_qU&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=64&pp=iAQB,数学,初中2,第7章 圆与扇形,7
第八章-毕式定理,https://www.youtube.com/watch?v=tHEj55Qy1zY&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=66&pp=iAQB,数学,初中2,第8章 毕氏定理,8
第九章-集合论-集合与元素,https://www.youtube.com/watch?v=M82TDMp8Pfg&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=67&pp=iAQB,数学,初中2,第9章 集合论,9
第九章-集合论-有限集与基数,https://www.youtube.com/watch?v=5MaLPXW1GMo&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=68&pp=iAQB,数学,初中2,第9章 集合论,9
第九章-集合论-集合间的关系与运算,https://www.youtube.com/watch?v=cCnBmzpkK2s&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=69&pp=iAQB,数学,初中2,第9章 集合论,9
第九章-集合论-联集的基本性质,https://www.youtube.com/watch?v=8Q07QN0Edps&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=70&pp=iAQB,数学,初中2,第9章 集合论,9
第九章-集合论-交集,https://www.youtube.com/watch?v=etJFDLVipOM&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=71&pp=iAQB,数学,初中2,第9章 集合论,9
第九章-集合论- 差集,https://www.youtube.com/watch?v=sYlgiyUL5R4&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=72&pp=iAQB,数学,初中2,第9章 集合论,9
第九章-集合论-泛集与余集,https://www.youtube.com/watch?v=tpbSM23xYYQ&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=73&pp=iAQB,数学,初中2,第9章 集合论,9
第九章-集合论-总复习题,https://www.youtube.com/watch?v=DNhWgrClvqM&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=74&pp=iAQB,数学,初中2,第9章 集合论,9
第九章-集合论-考题讨论,https://www.youtube.com/watch?v=v6VokUSl7Ek&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=75&pp=iAQB0gcJCckJAYcqIYzv,数学,初中2,第9章 集合论,9
第十章-集合论的应用,https://www.youtube.com/watch?v=Bj7dfchmLNY&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=76&pp=iAQB0gcJCckJAYcqIYzv,数学,初中2,第10章 集合论的应用,10
第十章-三个集合联集,https://www.youtube.com/watch?v=dMnldTfIpUI&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=77&pp=iAQB,数学,初中2,第10章 集合论的应用,10
第十一章-一元二次方程式-因式分解法,https://www.youtube.com/watch?v=FSrCRd5eJro&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=78&pp=iAQB,数学,初中2,第11章 一元二次方程式与一元二次函数,11
第十一章-一元二次方程式-配方法,https://www.youtube.com/watch?v=hzElo_Mtx1E&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=79&pp=iAQB,数学,初中2,第11章 一元二次方程式与一元二次函数,11
第十一章-一元二次方程式-公式法,https://www.youtube.com/watch?v=Lo7C42YGfNo&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=80&pp=iAQB,数学,初中2,第11章 一元二次方程式与一元二次函数,11
第十一章-一元二次方程式-应用问题,https://www.youtube.com/watch?v=GMHI2FB_WYI&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=81&pp=iAQB,数学,初中2,第11章 一元二次方程式与一元二次函数,11
第十一章-考题讨论,https://www.youtube.com/watch?v=qs4qrr5QEeQ&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=82&pp=iAQB,数学,初中2,第11章 一元二次方程式与一元二次函数,11
第十二章-分式-基本性质,https://www.youtube.com/watch?v=-hk4frWVNpY&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=83&pp=iAQB,数学,初中2,第12章 分式,12
第十二章-分式-四则运算,https://www.youtube.com/watch?v=OHNXgDjFloI&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=84&pp=iAQB,数学,初中2,第12章 分式,12
第十二章-分式-考题讨论,https://www.youtube.com/watch?v=0VQKoJS-OlI&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=85&pp=iAQB,数学,初中2,第12章 分式,12
第十二章-分式-繁分式,https://www.youtube.com/watch?v=fA6yh05SqUk&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=86&pp=iAQB,数学,初中2,第12章 分式,12
第十二章-分式-总复习,https://www.youtube.com/watch?v=n4vSnelyhyA&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=87&pp=iAQB,数学,初中2,第12章 分式,12
第十三章-公式,https://www.youtube.com/watch?v=gIzK7IXyS2s&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=88&pp=iAQB,数学,初中2,第13章 公式,13
第十三章-公式主项转换 A,https://www.youtube.com/watch?v=UP9ltYMQLAI&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=89&pp=iAQB,数学,初中2,第13章 公式,13
第十三章-公式主项转换 B,https://www.youtube.com/watch?v=qk9UwdDFgqs&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=90&pp=iAQB,数学,初中2,第13章 公式,13
第十四章-不等式-性质,https://www.youtube.com/watch?v=375dfTiKkLI&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=91&pp=iAQB,数学,初中2,第14章 不等式,14
第十四章-不等式-一元二次不等式,https://www.youtube.com/watch?v=tdio1nvkLMs&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=92&pp=iAQB,数学,初中2,第14章 不等式,14
第十四章-不等式-一元二次不等式-练习,https://www.youtube.com/watch?v=JjRJBByHY9w&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=93&pp=iAQB,数学,初中2,第14章 不等式,14
第十四章-不等式-不等式组,https://www.youtube.com/watch?v=LcnKxmZuNuw&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=94&pp=iAQB,数学,初中2,第14章 不等式,14
第十四章-不等式组+习题,https://www.youtube.com/watch?v=bmcVQE1vi3g&list=PLGLP-MhuBCF5OzBZ-YKFeIXsWz6maHQIX&index=95&pp=iAQB,数学,初中2,第14章 不等式,14
